config_id,inner_fold,selection_metric,selection_score,params,pooled_auc,macro_auc,window_years,train_start,train_end,train_target_end,train_rows,valid_start,valid_end,valid_rows,approach,dataset_type,model_name,outer_fold
1,2,pooled_auc,0.5191847846080271,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5191847846080271,0.5173134533257643,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,hybrid,random_forest,2
1,3,pooled_auc,0.511526554073548,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.511526554073548,0.5118160769028803,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,hybrid,random_forest,2
0,1,pooled_auc,0.5002170931957591,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5002170931957591,0.5123734773707986,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,hybrid,hist_gradient_boosting,2
0,2,pooled_auc,0.5194942964918685,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5194942964918685,0.5195559058298191,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,hybrid,hist_gradient_boosting,2
0,3,pooled_auc,0.4910065830355756,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.4910065830355756,0.48977609098536934,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,hybrid,hist_gradient_boosting,2
1,1,pooled_auc,0.4995840508397894,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.4995840508397894,0.5103992050735742,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,hybrid,hist_gradient_boosting,2
1,2,pooled_auc,0.5260506425112981,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5260506425112981,0.5272640867289724,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,hybrid,hist_gradient_boosting,2
1,3,pooled_auc,0.4970594109944739,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.4970594109944739,0.4965778879754444,all,2015-01-02,2022-02-14,2022-02-15,7172,2022-02-16,2024-07-10,2404,reference,hybrid,hist_gradient_boosting,2
0,1,pooled_auc,0.5112330823375921,"{""model__C"": 0.1}",0.5112330823375921,0.5340681225594205,all,2015-01-02,2017-05-16,2017-05-17,2388,2017-05-18,2019-10-02,2392,reference,lag_1,logistic_regression,2
0,2,pooled_auc,0.5341403988352449,"{""model__C"": 0.1}",0.5341403988352449,0.536241031284714,all,2015-01-02,2019-10-01,2019-10-02,4780,2019-10-03,2022-02-15,2392,reference,lag_1,logistic_regression,2
