Date,Adj Close,Close,High,Low,Open,Volume,next_adj_close,target,daily_return,sma_5,sma_20,sma_50,RSI,MACD,MACD_signal,volatility_20
2019-04-08,260.1521301269531,288.7900085449219,288.9100036621094,287.3699951171875,288.1000061035156,53566300,258.8190002441406,0,0.0007627226887283,258.887353515625,254.7393341064453,249.67053375244143,70.57883339596012,2.862800666441956,2.47338160020474,0.006607885337246012
2019-04-09,258.8190002441406,287.3099975585937,288.0799865722656,286.70001220703125,287.7200012207031,66142300,259.7017517089844,1,-0.0051244242442372,259.1287902832031,255.14677505493165,250.1156695556641,65.11224735783912,2.822425553153323,2.543190390794457,0.006784211171334924
2019-04-10,259.7017517089844,288.2900085449219,288.3900146484375,287.3099975585937,287.7699890136719,52601500,259.62957763671875,0,0.0034106903434873,259.4657104492188,255.5153861999512,250.58473907470704,66.93831700001721,2.8290471561408594,2.6003617438637376,0.006697202807279345
2019-04-11,259.62957763671875,288.2099914550781,288.8399963378906,287.5799865722656,288.8299865722656,55093100,261.3862609863281,1,-0.0002779113802301,259.6512634277344,255.88846740722656,250.97756317138672,66.63123831431946,2.7962376922478995,2.6395369335405703,0.006691702080502431
2019-04-12,261.3862609863281,290.1600036621094,290.4700012207031,288.260009765625,290.0,69727800,261.215087890625,0,0.0067661141138062,259.937744140625,256.2870933532715,251.36336853027345,70.21301414548552,2.878800599511436,2.6873896667347434,0.006753554899814881
2019-04-15,261.215087890625,289.9700012207031,290.3500061035156,289.0799865722656,290.239990234375,49596700,261.3862609863281,1,-0.0006548664610649,260.1503356933593,256.63121032714844,251.74341827392576,69.43095757378266,2.897024959681658,2.729316725324127,0.006752850418397869
2019-04-16,261.3862609863281,290.1600036621094,291.010009765625,289.5,290.95001220703125,52153200,260.7466735839844,0,0.0006552955921703,260.6637878417969,256.9807373046875,252.09281005859376,69.7932912037598,2.8919436089345822,2.761842102046218,0.006749937818632213
2019-04-17,260.7466735839844,289.45001220703125,291.42999267578125,288.989990234375,291.3999938964844,58268300,261.26007080078125,1,-0.0024469052043144,260.8727722167969,257.33656845092776,252.40896118164065,66.61601800999674,2.8039846540718827,2.770270612451351,0.006731829670290344
2019-04-18,261.26007080078125,290.0199890136719,290.32000732421875,288.6600036621094,290.1000061035156,68708500,261.4852905273437,1,0.0019689502064981,261.19887084960936,257.5748359680176,252.7418380737305,67.88003870840075,2.7440714656581235,2.7650307830927057,0.006321306110486263
2019-04-22,261.4852905273437,290.2699890136719,290.44000244140625,289.07000732421875,289.1700134277344,40160100,263.83648681640625,1,0.0008620518469284,261.2186767578125,258.07119140625,253.1258572387696,68.4444930401331,2.683825709724601,2.7487897684190847,0.004177198475299911
2019-04-23,263.83648681640625,292.8800048828125,293.1400146484375,290.4200134277344,290.67999267578125,52246600,263.25103759765625,0,0.0089916961842131,261.7429565429687,258.6945671081543,253.5509814453125,73.65038564455533,2.793599528451523,2.7577517204255724,0.004407879508742204
