scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,approach,dataset_type,model_name,ticker
global,0.5244122965641953,0.5435779816513762,0.7873754152823921,0.6431478968792401,0.4988464377999262,0.4652053847539832,-0.0028133149560314345,0.49259083478352583,53,199,64,237,,0.49453960526341234,joint,hybrid,random_forest,AAPL
global,0.45750452079566006,0.5119047619047619,0.28289473684210525,0.3644067796610169,0.4767887338829,0.44561032989359994,-0.05022041372505002,0.48523039526527156,167,82,218,86,,0.5124000454174907,joint,hybrid,random_forest,MSFT
global,0.5244122965641953,0.5676567656765676,0.5657894736842105,0.5667215815485996,0.5198425280067639,0.5198337366660833,0.03967090832322766,0.5180194462058761,118,131,132,172,,0.5146211644624091,joint,hybrid,random_forest,NVDA
global,0.5262206148282098,0.5315315315315315,0.6254416961130742,0.5746753246753247,0.5238319591676482,0.5199907235621521,0.04867784959210023,0.5255856563277058,114,156,106,177,,0.5424745140945798,joint,hybrid,random_forest,TSLA
global,0.5171790235081374,0.5410628019323671,0.7441860465116279,0.6265734265734266,0.49510889627168697,0.4718544882227747,-0.011230854902711883,0.4801785055107314,62,190,77,224,,0.4751784275280054,joint,hybrid,xgboost,AAPL
global,0.47920433996383366,0.5449438202247191,0.3190789473684211,0.4024896265560166,0.49688887127457193,0.4704755825087775,-0.006626112524046161,0.5033555273726484,168,81,207,97,,0.5279485437520623,joint,hybrid,xgboost,MSFT
global,0.5045207956600362,0.5517241379310345,0.5263157894736842,0.5387205387205387,0.5021137180300148,0.5017821443602694,0.004211498397474106,0.49199429296131897,119,130,144,160,,0.487329303827551,joint,hybrid,xgboost,NVDA
global,0.48282097649186256,0.4956772334293948,0.607773851590106,0.546031746031746,0.47981285172097893,0.4725957049486461,-0.04174281382929357,0.519794529511844,95,175,111,172,,0.5459143360294676,joint,hybrid,xgboost,TSLA
global,0.4936708860759494,0.5267175572519084,0.6877076411960132,0.5965417867435159,0.47480620155038755,0.45846506812903953,-0.05534149639954678,0.4851223435110479,66,186,94,207,,0.4843248287656821,joint,lag_1,hist_gradient_boosting,AAPL
global,0.4701627486437613,0.5263157894736842,0.3618421052631579,0.42884990253411304,0.4821258719086874,0.46737604738847305,-0.0366808138179189,0.47566582117945466,150,99,194,110,,0.49444097292171657,joint,lag_1,hist_gradient_boosting,MSFT
global,0.488245931283906,0.5368421052631579,0.5032894736842105,0.5195246179966044,0.4865844958782498,0.4860679182826349,-0.026710599221944725,0.4956140350877193,117,132,151,153,,0.49163815633646335,joint,lag_1,hist_gradient_boosting,NVDA
global,0.4972875226039783,0.5070422535211268,0.6360424028268551,0.5642633228840125,0.4939471273393535,0.48512311443345923,-0.012621758353198401,0.5172555948174322,95,175,103,180,,0.5372581845238095,joint,lag_1,hist_gradient_boosting,TSLA
global,0.5027124773960217,0.5315533980582524,0.7275747508305648,0.6143057503506312,0.4808508674787745,0.4572801016384199,-0.0437627348299148,0.4825119970468808,59,193,82,219,,0.4776143673954582,joint,lag_1,lightgbm,AAPL
global,0.47377938517179025,0.5419354838709678,0.27631578947368424,0.3660130718954248,0.49558761361234416,0.45812245557676956,-0.009775356663119879,0.48030279010779964,178,71,220,84,,0.49710892692874514,joint,lag_1,lightgbm,MSFT
global,0.5117540687160941,0.5611510791366906,0.5131578947368421,0.5360824742268041,0.5115990276897062,0.5104076493271426,0.023083374702484605,0.5188385119425069,127,122,148,156,,0.5161635107239243,joint,lag_1,lightgbm,NVDA
global,0.49547920433996384,0.50625,0.5724381625441696,0.5373134328358209,0.4936264886794922,0.491320732322483,-0.012904194707359913,0.49837717576233476,112,158,121,162,,0.5162886461735147,joint,lag_1,lightgbm,TSLA
global,0.4972875226039783,0.5288220551378446,0.7009966777408638,0.6028571428571429,0.4774824658545589,0.459064039408867,-0.05003657050152592,0.4694009386700417,64,188,90,211,,0.46656114663488385,joint,lag_1,logistic_regression,AAPL
global,0.5298372513562387,0.5666666666666667,0.6151315789473685,0.5899053627760252,0.5204171950961742,0.5195289525744533,0.04141456825784304,0.49487423377721407,106,143,117,187,,0.49899059604319057,joint,lag_1,logistic_regression,MSFT
global,0.49005424954792043,0.5486725663716814,0.40789473684210525,0.4679245283018868,0.4991280913126189,0.4891705974842767,-0.0017648563827860682,0.5191819911223843,147,102,180,124,,0.5215267893651351,joint,lag_1,logistic_regression,NVDA
global,0.5135623869801085,0.5186170212765957,0.6890459363957597,0.5918057663125948,0.5093377830126946,0.4950080285701677,0.02001097814393528,0.5007983248265934,89,181,88,195,,0.5096917601769575,joint,lag_1,logistic_regression,TSLA
