scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,approach,dataset_type,model_name,ticker
outer_fold,0.5271739130434783,0.525974025974026,0.8526315789473684,0.6506024096385542,0.5162034299231224,0.45975498633188217,0.04384022446252387,0.4851567120047309,16,73,14,81,2.0,,individual,base,xgboost,MSFT
outer_fold,0.46195652173913043,0.7272727272727273,0.07692307692307693,0.1391304347826087,0.5197115384615385,0.3739130434782609,0.08243142098060278,0.5912259615384615,77,3,96,8,3.0,,individual,base,xgboost,MSFT
global,0.49547920433996384,0.5647668393782384,0.35855263157894735,0.4386317907444668,0.510601616994293,0.4902518559633664,0.0221313887313969,0.5189904354259142,165,84,195,109,,0.551526910057445,individual,base,xgboost,NVDA
outer_fold,0.4648648648648649,0.65625,0.1926605504587156,0.2978723404255319,0.5239618541767262,0.4327789649725913,0.062337553949593075,0.4984910671173346,65,11,88,21,1.0,,individual,base,xgboost,NVDA
outer_fold,0.5434782608695652,0.5373134328358209,0.7659574468085106,0.631578947368421,0.5385342789598109,0.5157894736842106,0.08660141993561471,0.6039007092198581,28,62,22,72,2.0,,individual,base,xgboost,NVDA
outer_fold,0.4782608695652174,0.5925925925925926,0.15841584158415842,0.25,0.5129428605511154,0.425,0.03640225540967316,0.5521889538351425,72,11,85,16,3.0,,individual,base,xgboost,NVDA
global,0.5099457504520796,0.525,0.4452296819787986,0.4818355640535373,0.5115037298782882,0.5084992571554136,0.023204166938566216,0.5192514068839157,156,114,157,126,,0.5334681400470874,individual,base,xgboost,TSLA
outer_fold,0.5243243243243243,0.5271317829457365,0.7157894736842105,0.6071428571428571,0.5190058479532164,0.5022015655577299,0.04135342025487267,0.5361403508771929,29,61,27,68,1.0,,individual,base,xgboost,TSLA
outer_fold,0.5108695652173914,0.4880952380952381,0.4659090909090909,0.47674418604651164,0.5089962121212122,0.5087802562885619,0.018043757939442674,0.5246212121212122,53,43,47,41,2.0,,individual,base,xgboost,TSLA
outer_fold,0.4945652173913043,0.6296296296296297,0.17,0.2677165354330709,0.5254761904761904,0.44091220962524913,0.071725307313915,0.5396428571428572,74,10,83,17,3.0,,individual,base,xgboost,TSLA
global,0.46835443037974683,0.5117845117845118,0.5049833887043189,0.5083612040133779,0.4647932816537468,0.4648105232665315,-0.07033003806476541,0.47093023255813954,107,145,149,152,,0.4724901508550034,individual,hybrid,hist_gradient_boosting,AAPL
outer_fold,0.4648648648648649,0.5,0.45454545454545453,0.47619047619047616,0.4656448202959831,0.4646145751118127,-0.06856555343167432,0.43774958891237964,41,45,54,45,1.0,,individual,hybrid,hist_gradient_boosting,AAPL
outer_fold,0.4673913043478261,0.514018691588785,0.5445544554455446,0.5288461538461539,0.4590242156745795,0.45817307692307696,-0.08266463501205278,0.4752475247524752,31,52,46,55,2.0,,individual,hybrid,hist_gradient_boosting,AAPL
outer_fold,0.47282608695652173,0.52,0.5148514851485149,0.5174129353233831,0.46826911606823335,0.4682873059850448,-0.06339751807463584,0.5044733389001551,35,48,49,52,3.0,,individual,hybrid,hist_gradient_boosting,AAPL
global,0.4972875226039783,0.5738636363636364,0.33223684210526316,0.42083333333333334,0.5155160114140773,0.48837193823216185,0.033145115933761196,0.5123388290002113,174,75,203,101,,0.5314649814629486,individual,hybrid,hist_gradient_boosting,MSFT
outer_fold,0.4648648648648649,0.6071428571428571,0.1619047619047619,0.2556390977443609,0.512202380952381,0.41895878937850956,0.033735362108835265,0.49,69,11,88,17,1.0,,individual,hybrid,hist_gradient_boosting,MSFT
outer_fold,0.532608695652174,0.536,0.7052631578947368,0.6090909090909091,0.5267888823181549,0.514004914004914,0.05736676812804959,0.5069189828503844,31,58,28,67,2.0,,individual,hybrid,hist_gradient_boosting,MSFT
outer_fold,0.4945652173913043,0.7391304347826086,0.16346153846153846,0.2677165354330709,0.5442307692307693,0.44091220962524913,0.13259870882635919,0.5974759615384615,74,6,87,17,3.0,,individual,hybrid,hist_gradient_boosting,MSFT
global,0.49909584086799275,0.5533596837944664,0.4605263157894737,0.5026929982046678,0.5033555273726484,0.49906963207136856,0.006702029868321565,0.5047756816740646,136,113,164,140,,0.5188861911922233,individual,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.5297297297297298,0.61,0.5596330275229358,0.583732057416268,0.5232375663930469,0.5216796933044072,0.04588082532034496,0.5049492998551425,37,39,48,61,1.0,,individual,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.5054347826086957,0.5109489051094891,0.7446808510638298,0.6060606060606061,0.5001182033096927,0.4709135147091351,0.0002709789786882518,0.5327423167848699,23,67,24,70,2.0,,individual,hybrid,hist_gradient_boosting,NVDA
outer_fold,0.46195652173913043,0.5625,0.0891089108910891,0.15384615384615385,0.5023857807467493,0.3797119215445909,0.008426468973866863,0.5189669569366575,76,7,92,9,3.0,,individual,hybrid,hist_gradient_boosting,NVDA
global,0.49005424954792043,0.50187265917603,0.4734982332155477,0.48727272727272725,0.4904528203114775,0.49003924133420534,-0.019100359647246275,0.5117785630153121,137,133,149,134,,0.5252950241766031,individual,hybrid,hist_gradient_boosting,TSLA
outer_fold,0.4756756756756757,0.49137931034482757,0.6,0.5402843601895735,0.4722222222222222,0.46511073355390625,-0.057419183465077364,0.5180116959064327,31,59,38,57,1.0,,individual,hybrid,hist_gradient_boosting,TSLA
outer_fold,0.5,0.4803921568627451,0.5568181818181818,0.5157894736842106,0.5023674242424242,0.4994677705499705,0.00475856522672226,0.5388257575757576,43,53,39,49,2.0,,individual,hybrid,hist_gradient_boosting,TSLA
outer_fold,0.4945652173913043,0.5714285714285714,0.28,0.37583892617449666,0.515,0.47559069596396064,0.033806170189140665,0.5190476190476191,63,21,72,28,3.0,,individual,hybrid,hist_gradient_boosting,TSLA
global,0.44665461121157324,0.4901185770750988,0.4119601328903654,0.44765342960288806,0.45002768549280175,0.44665280175796573,-0.09991302097153945,0.43551916890787323,123,129,177,124,,0.43517715458853257,individual,hybrid,lightgbm,AAPL
outer_fold,0.4594594594594595,0.4943820224719101,0.4444444444444444,0.46808510638297873,0.460594315245478,0.4593172784662146,-0.07867288518221668,0.4330514446793517,41,45,55,44,1.0,,individual,hybrid,lightgbm,AAPL
outer_fold,0.44021739130434784,0.4868421052631579,0.36633663366336633,0.4180790960451977,0.4482285577955386,0.4394060401691957,-0.10464086432048864,0.4442323750447334,44,39,64,37,2.0,,individual,hybrid,lightgbm,AAPL
outer_fold,0.44021739130434784,0.48863636363636365,0.42574257425742573,0.455026455026455,0.44178694977931526,0.4398037303065236,-0.11597733685780126,0.42824764404151255,38,45,58,43,3.0,,individual,hybrid,lightgbm,AAPL
global,0.47739602169981915,0.5362318840579711,0.3651315789473684,0.4344422700587084,0.48979470513633483,0.4743639921722113,-0.020983058734529436,0.5028403086028324,153,96,193,111,,0.5294721654052301,individual,hybrid,lightgbm,MSFT
outer_fold,0.42702702702702705,0.4883720930232558,0.2,0.28378378378378377,0.4625,0.40315315315315314,-0.08796755200842186,0.4576190476190476,58,22,84,21,1.0,,individual,hybrid,lightgbm,MSFT
outer_fold,0.5054347826086957,0.5151515151515151,0.7157894736842105,0.5991189427312775,0.49834417504435247,0.4768644359046459,-0.0036754675089996254,0.5241868716735659,25,64,27,68,2.0,,individual,hybrid,lightgbm,MSFT
outer_fold,0.5,0.6875,0.21153846153846154,0.3235294117647059,0.5432692307692307,0.4634888438133874,0.11318113639484068,0.606610576923077,70,10,82,22,3.0,,individual,hybrid,lightgbm,MSFT
global,0.4972875226039783,0.5570175438596491,0.41776315789473684,0.4774436090225564,0.5060703339674487,0.4965615257656336,0.012270717055670972,0.5112027055590784,148,101,177,127,,0.5384482896281004,individual,hybrid,lightgbm,NVDA
outer_fold,0.44324324324324327,0.5483870967741935,0.3119266055045872,0.39766081871345027,0.4717527764365041,0.4400364395074789,-0.05888130238186972,0.49867213906325447,48,28,75,34,1.0,,individual,hybrid,lightgbm,NVDA
outer_fold,0.5489130434782609,0.5384615384615384,0.8191489361702128,0.6497890295358649,0.5429078014184398,0.5081006216381615,0.10308405455017229,0.5575650118203309,24,66,17,77,2.0,,individual,hybrid,lightgbm,NVDA
outer_fold,0.5,0.6956521739130435,0.15841584158415842,0.25806451612903225,0.537039246093284,0.4405076679005817,0.11145896632458491,0.5591077180007157,76,7,85,16,3.0,,individual,hybrid,lightgbm,NVDA
global,0.5207956600361664,0.5346153846153846,0.4911660777385159,0.5119705340699816,0.5215089647951838,0.520638908242806,0.043082819765346135,0.5221175238843083,149,121,144,139,,0.5333233454532796,individual,hybrid,lightgbm,TSLA
outer_fold,0.5081081081081081,0.5178571428571429,0.6105263157894737,0.5603864734299517,0.5052631578947369,0.5010521324204973,0.010764379752659722,0.5323976608187135,36,54,37,58,1.0,,individual,hybrid,lightgbm,TSLA
outer_fold,0.5543478260869565,0.5288461538461539,0.625,0.5729166666666666,0.5572916666666666,0.5535037878787878,0.11546137937944932,0.5498342803030303,47,49,33,55,2.0,,individual,hybrid,lightgbm,TSLA
outer_fold,0.5,0.5909090909090909,0.26,0.3611111111111111,0.5228571428571429,0.4751984126984127,0.053382784742504436,0.5177380952380953,66,18,74,26,3.0,,individual,hybrid,lightgbm,TSLA
global,0.5045207956600362,0.5358090185676393,0.6710963455149501,0.5958702064896755,0.48832595053525285,0.4778416453009125,-0.02496364706944988,0.4458287190845331,77,175,99,202,,0.4407825157223857,individual,hybrid,logistic_regression,AAPL
outer_fold,0.5135135135135135,0.5314685314685315,0.7676767676767676,0.628099173553719,0.4943035001174536,0.4624870867768595,-0.013564764159724923,0.43328635189100306,19,67,23,76,1.0,,individual,hybrid,logistic_regression,AAPL
