dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end
relative_features,logistic_regression,1,"{""model__C"": 0.1}",0.510882885017684,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
relative_features,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.50306002234913,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
relative_features,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5040864353389899,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
relative_features,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.508388972312214,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
relative_features,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5070567923378007,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11
base,dummy,2,{},0.5,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,logistic_regression,2,"{""model__C"": 10.0}",0.5056082791937436,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5044774062414416,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 7}",0.5035393837171767,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5029220581218204,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
base,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5079445754912911,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
news_volume,logistic_regression,2,"{""model__C"": 10.0}",0.5128604339789352,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
news_volume,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5072434144840232,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
news_volume,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5060534405208054,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
news_volume,xgboost,2,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5066387072428861,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
news_volume,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5116197427009799,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
sentiment_only,logistic_regression,2,"{""model__C"": 0.1}",0.5012005099377354,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
sentiment_only,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5121379840179966,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
sentiment_only,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.514761061409619,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
sentiment_only,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5105204723330631,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
sentiment_only,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5144643918387021,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
financial_sentiment,logistic_regression,2,"{""model__C"": 10.0}",0.5050869246660659,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
financial_sentiment,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5057964308695738,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
financial_sentiment,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5086314460288269,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
financial_sentiment,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.508634432804652,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
financial_sentiment,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5108441693782798,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04
