ticker,month,sessions,news,recorded_days,sources,mean_relevance,news_per_session,recorded_day_ratio,approach
MSFT,2020-07,22,67.0,22.0,61.0,0.6723811791044777,3.0454545454545454,1.0,deduplicated
MSFT,2020-08,21,86.0,21.0,67.0,0.698031523255814,4.095238095238095,1.0,deduplicated
MSFT,2020-09,21,110.0,21.0,85.0,0.7030848727272727,5.238095238095238,1.0,deduplicated
MSFT,2020-10,22,104.0,22.0,80.0,0.7302649999999999,4.7272727272727275,1.0,deduplicated
MSFT,2020-11,20,89.0,20.0,68.0,0.7128454494382023,4.45,1.0,deduplicated
MSFT,2020-12,22,97.0,22.0,67.0,0.7173351340206185,4.409090909090909,1.0,deduplicated
MSFT,2021-01,19,83.0,19.0,62.0,0.7089517228915663,4.368421052631579,1.0,deduplicated
MSFT,2021-02,19,95.0,19.0,73.0,0.7253275263157895,5.0,1.0,deduplicated
MSFT,2021-03,23,109.0,22.0,85.0,0.6955015504587156,4.739130434782608,0.9565217391304348,deduplicated
MSFT,2021-04,21,96.0,21.0,72.0,0.6850588958333333,4.571428571428571,1.0,deduplicated
MSFT,2021-05,20,90.0,19.0,69.0,0.7236403777777778,4.5,0.95,deduplicated
MSFT,2021-06,22,125.0,22.0,89.0,0.6888578559999999,5.681818181818182,1.0,deduplicated
MSFT,2021-07,21,102.0,21.0,80.0,0.7047962941176471,4.857142857142857,1.0,deduplicated
MSFT,2021-08,22,104.0,21.0,69.0,0.6992345673076923,4.7272727272727275,0.9545454545454546,deduplicated
MSFT,2021-09,21,112.0,21.0,85.0,0.6940976875,5.333333333333333,1.0,deduplicated
MSFT,2021-10,21,107.0,21.0,73.0,0.7071647289719626,5.095238095238095,1.0,deduplicated
MSFT,2021-11,21,105.0,21.0,92.0,0.7154689238095238,5.0,1.0,deduplicated
MSFT,2021-12,22,112.0,22.0,82.0,0.7132547053571429,5.090909090909091,1.0,deduplicated
MSFT,2022-01,20,83.0,19.0,67.0,0.7113649156626506,4.15,0.95,deduplicated
MSFT,2022-02,19,102.0,19.0,82.0,0.6970482843137255,5.368421052631579,1.0,deduplicated
MSFT,2022-03,23,124.0,22.0,93.0,0.7179295725806452,5.391304347826087,0.9565217391304348,deduplicated
MSFT,2022-04,20,109.0,20.0,85.0,0.6972833394495412,5.45,1.0,deduplicated
MSFT,2022-05,21,119.0,21.0,87.0,0.6696397983193277,5.666666666666667,1.0,deduplicated
MSFT,2022-06,21,102.0,21.0,78.0,0.7197371568627451,4.857142857142857,1.0,deduplicated
MSFT,2022-07,20,91.0,20.0,76.0,0.7128402087912088,4.55,1.0,deduplicated
MSFT,2022-08,23,116.0,23.0,99.0,0.6900605948275862,5.043478260869565,1.0,deduplicated
MSFT,2022-09,21,108.0,21.0,82.0,0.6971378888888888,5.142857142857143,1.0,deduplicated
MSFT,2022-10,21,123.0,21.0,100.0,0.7137553658536585,5.857142857142857,1.0,deduplicated
MSFT,2022-11,21,118.0,21.0,88.0,0.6965868559322034,5.619047619047619,1.0,deduplicated
MSFT,2022-12,21,121.0,20.0,85.0,0.7111781239669421,5.761904761904762,0.9523809523809523,deduplicated
MSFT,2023-01,20,117.0,19.0,88.0,0.6662544529914529,5.85,0.95,deduplicated
MSFT,2023-02,19,131.0,19.0,93.0,0.6893325572519085,6.894736842105263,1.0,deduplicated
MSFT,2023-03,23,99.0,21.0,73.0,0.7060910606060605,4.304347826086956,0.9130434782608695,deduplicated
MSFT,2023-04,19,50.0,17.0,39.0,0.70356292,2.6315789473684212,0.8947368421052632,deduplicated
MSFT,2023-05,22,63.0,19.0,49.0,0.6850464126984127,2.8636363636363638,0.8636363636363636,deduplicated
MSFT,2023-06,21,96.0,20.0,48.0,0.6776699895833334,4.571428571428571,0.9523809523809523,deduplicated
MSFT,2023-07,20,72.0,18.0,59.0,0.6962999583333334,3.6,0.9,deduplicated
MSFT,2023-08,23,74.0,22.0,65.0,0.6718515405405405,3.217391304347826,0.9565217391304348,deduplicated
MSFT,2023-09,20,88.0,20.0,71.0,0.6761338977272727,4.4,1.0,deduplicated
MSFT,2023-10,22,71.0,21.0,61.0,0.6886939718309859,3.227272727272727,0.9545454545454546,deduplicated
MSFT,2023-11,21,77.0,21.0,61.0,0.6938141168831169,3.6666666666666665,1.0,deduplicated
MSFT,2023-12,20,50.0,19.0,43.0,0.70258178,2.5,0.95,deduplicated
MSFT,2024-01,21,81.0,21.0,69.0,0.6960505925925925,3.857142857142857,1.0,deduplicated
MSFT,2024-02,20,95.0,20.0,70.0,0.6710462105263157,4.75,1.0,deduplicated
MSFT,2024-03,20,81.0,20.0,63.0,0.7070755308641975,4.05,1.0,deduplicated
MSFT,2024-04,22,90.0,22.0,69.0,0.7448204555555555,4.090909090909091,1.0,deduplicated
MSFT,2024-05,22,97.0,22.0,71.0,0.7169475360824742,4.409090909090909,1.0,deduplicated
MSFT,2024-06,19,96.0,18.0,68.0,0.7202549375,5.052631578947368,0.9473684210526315,deduplicated
MSFT,2024-07,22,105.0,22.0,78.0,0.6887385238095237,4.7727272727272725,1.0,deduplicated
MSFT,2024-08,22,97.0,21.0,72.0,0.6722610103092783,4.409090909090909,0.9545454545454546,deduplicated
MSFT,2024-09,20,129.0,20.0,89.0,0.6858771472868217,6.45,1.0,deduplicated
MSFT,2024-10,23,139.0,23.0,87.0,0.6704658417266187,6.043478260869565,1.0,deduplicated
MSFT,2024-11,20,149.0,20.0,98.0,0.6895600469798657,7.45,1.0,deduplicated
MSFT,2024-12,21,106.0,21.0,71.0,0.6898788018867924,5.0476190476190474,1.0,deduplicated
MSFT,2025-01,20,89.0,20.0,73.0,0.67668702247191,4.45,1.0,deduplicated
MSFT,2025-02,19,128.0,19.0,98.0,0.6719846796875,6.7368421052631575,1.0,deduplicated
MSFT,2025-03,21,159.0,21.0,99.0,0.6970930628930817,7.571428571428571,1.0,deduplicated
MSFT,2025-04,21,163.0,21.0,97.0,0.6964412760736196,7.761904761904762,1.0,deduplicated
MSFT,2025-05,21,171.0,21.0,119.0,0.6669123333333333,8.142857142857142,1.0,deduplicated
MSFT,2025-06,20,185.0,20.0,114.0,0.692046318918919,9.25,1.0,deduplicated
MSFT,2025-07,22,201.0,22.0,112.0,0.6882666119402985,9.136363636363637,1.0,deduplicated
MSFT,2025-08,21,213.0,21.0,128.0,0.6580094600938967,10.142857142857142,1.0,deduplicated
MSFT,2025-09,21,247.0,21.0,158.0,0.6657270890688259,11.761904761904763,1.0,deduplicated
MSFT,2025-10,23,3753.0,23.0,1016.0,0.6486764297895018,163.17391304347825,1.0,deduplicated
MSFT,2025-11,19,943.0,19.0,263.0,0.6850197104984093,49.63157894736842,1.0,deduplicated
MSFT,2025-12,20,1581.0,20.0,305.0,0.6791276166982921,79.05,1.0,deduplicated
NVDA,2015-01,20,8.0,6.0,4.0,0.8327530000000001,0.4,0.3,deduplicated
NVDA,2015-02,19,4.0,4.0,3.0,0.930829,0.21052631578947367,0.21052631578947367,deduplicated
NVDA,2015-03,22,8.0,7.0,6.0,0.882503875,0.36363636363636365,0.3181818181818182,deduplicated
NVDA,2015-04,21,2.0,2.0,2.0,1.0,0.09523809523809523,0.09523809523809523,deduplicated
NVDA,2015-05,20,2.0,2.0,2.0,1.0,0.1,0.1,deduplicated
NVDA,2015-06,22,5.0,5.0,3.0,0.6787402,0.22727272727272727,0.22727272727272727,deduplicated
NVDA,2015-07,22,7.0,7.0,4.0,0.8218034285714285,0.3181818181818182,0.3181818181818182,deduplicated
NVDA,2015-08,21,7.0,6.0,4.0,0.9197787142857142,0.3333333333333333,0.2857142857142857,deduplicated
