dataset_type,model_name,scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc
lag_1,lightgbm,year,0.4166666666666667,0.46987951807228917,0.2746478873239437,0.3466666666666667,0.4373239436619718,0.4098924731182796,-0.13227865616138587,0.434314980793854,66,44,103,39,2024,,
lag_1,lightgbm,year,0.45161290322580644,0.4725274725274725,0.3282442748091603,0.38738738738738737,0.458993932276375,0.44551851121194186,-0.08494467843336656,0.48541788999804264,69,48,88,43,2025,,
lag_1,lightgbm,outer_fold,0.4486486486486487,0.4819277108433735,0.40404040404040403,0.43956043956043955,0.452020202020202,0.4485036240355389,-0.09623124433309244,0.4732205778717407,43,43,59,40,1,,
lag_1,lightgbm,outer_fold,0.41304347826086957,0.4222222222222222,0.18811881188118812,0.2602739726027397,0.4374328999164977,0.3868937430581266,-0.1448645421335946,0.4586663485625671,57,26,82,19,2,,
lag_1,lightgbm,outer_fold,0.45108695652173914,0.5,0.3564356435643564,0.4161849710982659,0.46135035190266016,0.449118126574774,-0.07881339091215703,0.4652272456161278,47,36,65,36,3,,
lag_1,logistic_regression,global,0.5081374321880651,0.5397260273972603,0.654485049833887,0.5915915915915916,0.49390919158361013,0.4867048867048867,-0.0128074625951903,0.4536465749090334,84,168,104,197,,0.4514744787264755,0.010222441624081986
lag_1,logistic_regression,ticker,0.5081374321880651,0.5397260273972603,0.654485049833887,0.5915915915915916,0.49390919158361013,0.4867048867048867,-0.0128074625951903,0.4536465749090334,84,168,104,197,AAPL,,
lag_1,logistic_regression,year,0.6037735849056604,0.5813953488372093,0.8928571428571429,0.704225352112676,0.5864285714285715,0.552112676056338,0.220547491514388,0.5757142857142857,7,18,3,25,2023,,
lag_1,logistic_regression,year,0.5158730158730159,0.5526315789473685,0.7394366197183099,0.6325301204819277,0.4833546734955186,0.46161389745026615,-0.038334533590365885,0.41792573623559537,25,85,37,105,2024,,
lag_1,logistic_regression,year,0.4798387096774194,0.5075757575757576,0.5114503816793893,0.5095057034220533,0.47794741306191685,0.4779288173762627,-0.04412677182754943,0.44672799634631694,52,65,64,67,2025,,
lag_1,logistic_regression,outer_fold,0.518918918918919,0.5352112676056338,0.7676767676767676,0.6307053941908713,0.5001174536058257,0.47039145678535815,0.00027738614998624545,0.4417430115104534,20,66,23,76,1,,
lag_1,logistic_regression,outer_fold,0.5108695652173914,0.5407407407407407,0.7227722772277227,0.6186440677966102,0.48789216271024693,0.4684129429892142,-0.027260347053687524,0.4505546940236193,21,62,28,73,2,,
lag_1,logistic_regression,outer_fold,0.4945652173913043,0.5454545454545454,0.4752475247524752,0.5079365079365079,0.49665990695455087,0.4941917176554048,-0.006654437360693515,0.4621257306453537,43,40,53,48,3,,
lag_1,random_forest,global,0.46835443037974683,0.5108359133126935,0.5481727574750831,0.5288461538461539,0.46059431524547806,0.45944382381104376,-0.07963559208199154,0.4411353688762327,94,158,136,165,,0.4446707349356398,0.02196189770878143
lag_1,random_forest,ticker,0.46835443037974683,0.5108359133126935,0.5481727574750831,0.5288461538461539,0.46059431524547806,0.45944382381104376,-0.07963559208199154,0.4411353688762327,94,158,136,165,AAPL,,
lag_1,random_forest,year,0.5094339622641509,0.5357142857142857,0.5357142857142857,0.5357142857142857,0.5078571428571428,0.5078571428571428,0.015714285714285715,0.5357142857142857,12,13,13,15,2023,,
lag_1,random_forest,year,0.45634920634920634,0.5167785234899329,0.5422535211267606,0.5292096219931272,0.44385403329065304,0.44300856686510814,-0.11328628304377394,0.3939820742637644,38,72,65,77,2024,,
lag_1,random_forest,year,0.4717741935483871,0.5,0.5572519083969466,0.5270758122743683,0.46666014223266133,0.46445114814631655,-0.0676465735218168,0.4689110719645071,44,73,58,73,2025,,
lag_1,random_forest,outer_fold,0.43783783783783786,0.47706422018348627,0.5252525252525253,0.5,0.4312309137890533,0.42901234567901236,-0.13943443044764253,0.41966173361522197,29,57,47,52,1,,
lag_1,random_forest,outer_fold,0.4945652173913043,0.5384615384615384,0.5544554455445545,0.5463414634146342,0.48807109626625317,0.4878946580876852,-0.023947964155630615,0.46081355123464146,35,48,45,56,2,,
lag_1,random_forest,outer_fold,0.47282608695652173,0.5181818181818182,0.5643564356435643,0.5402843601895735,0.4629011093880472,0.46122498264255746,-0.07529713452042111,0.4535369199570559,30,53,44,57,3,,
lag_1,xgboost,global,0.47377938517179025,0.5171232876712328,0.5016611295681063,0.5092748735244519,0.47106866002214837,0.4710117057680739,-0.05772585621265337,0.463890207245689,111,141,150,151,,0.45779679770536125,0.01392139769826656
lag_1,xgboost,ticker,0.47377938517179025,0.5171232876712328,0.5016611295681063,0.5092748735244519,0.47106866002214837,0.4710117057680739,-0.05772585621265337,0.463890207245689,111,141,150,151,AAPL,,
lag_1,xgboost,year,0.5283018867924528,0.5405405405405406,0.7142857142857143,0.6153846153846154,0.5171428571428571,0.5028142589118199,0.037282185960072003,0.54,8,17,8,20,2023,,
lag_1,xgboost,year,0.4880952380952381,0.5408805031446541,0.6056338028169014,0.5714285714285714,0.47099871959026884,0.46798029556650245,-0.05961391533780125,0.42944942381562096,37,73,56,86,2024,,
lag_1,xgboost,year,0.4475806451612903,0.46875,0.3435114503816794,0.3964757709251101,0.45380700724212175,0.4435910453138562,-0.0946841455062362,0.4602335747373915,66,51,86,45,2025,,
lag_1,xgboost,outer_fold,0.4648648648648649,0.5,0.5959595959595959,0.543778801843318,0.45495654216584447,0.4483599891569531,-0.09348676591184998,0.44174301151045336,27,59,40,59,1,,
lag_1,xgboost,outer_fold,0.5217391304347826,0.5585585585585585,0.6138613861386139,0.5849056603773585,0.5117499701777406,0.5104015481373971,0.023902513581245885,0.4665394250268399,34,49,39,62,2,,
lag_1,xgboost,outer_fold,0.43478260869565216,0.47619047619047616,0.297029702970297,0.36585365853658536,0.44971967076225694,0.4280248684839789,-0.10545444288622344,0.46510795657879045,50,33,71,30,3,,
