ticker,trading_date,sentiment_mean,sentiment_median,sentiment_min,sentiment_max,news_count,non_trading_news_count,negative_news_count,neutral_news_count,positive_news_count,positive_news_ratio,negative_news_ratio,neutral_news_ratio
MSFT,2017-03-02,0.13205,0.13205,0.13205,0.13205,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-03-03,0.049587,0.049587,0.049587,0.049587,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-03-06,0.109561,0.109561,0.109561,0.109561,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-03-07,-0.006027666666666672,0.100782,-0.231956,0.113091,3,0,1,2,0,0.0,0.3333333333333333,0.6666666666666666
MSFT,2017-03-08,0.069771,0.069771,0.027568,0.111974,2,0,0,2,0,0.0,0.0,1.0
MSFT,2017-03-09,0.300574,0.300574,0.300574,0.300574,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-03-10,-0.309744,-0.309744,-0.309744,-0.309744,1,0,1,0,0,0.0,1.0,0.0
MSFT,2017-03-13,0.0788505,0.0788505,0.014094,0.143607,2,0,0,2,0,0.0,0.0,1.0
MSFT,2017-03-14,0.418745,0.418745,0.404373,0.433117,2,0,0,0,2,1.0,0.0,0.0
MSFT,2017-03-15,0.442294,0.442294,0.442294,0.442294,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-03-20,0.321651,0.321651,0.321651,0.321651,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-03-21,0.348878,0.348878,0.348878,0.348878,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-03-28,0.469734,0.469734,0.469734,0.469734,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-03-29,0.325047,0.325047,0.325047,0.325047,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-03-30,0.332901,0.332901,0.332901,0.332901,1,0,0,0,1,1.0,0.0,0.0
MSFT,2017-04-03,0.2229245,0.2229245,0.219881,0.225968,2,1,0,0,2,1.0,0.0,0.0
MSFT,2017-04-04,0.2431205,0.2431205,0.227939,0.258302,2,0,0,0,2,1.0,0.0,0.0
MSFT,2017-04-05,0.146572,0.146572,0.146572,0.146572,1,0,0,1,0,0.0,0.0,1.0
MSFT,2017-04-07,0.3459045,0.3459045,0.249927,0.441882,2,0,0,0,2,1.0,0.0,0.0
MSFT,2017-04-11,0.139194,0.139194,0.139194,0.139194,1,0,0,1,0,0.0,0.0,1.0
