dataset_type,model_name,outer_fold,params,inner_mean_auc,train_rows,test_rows,train_end,train_target_end,test_start,test_end,approach
hybrid,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5109757207618207,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
hybrid,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5075647014485205,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
hybrid,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5078212946917678,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
hybrid,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5100996710021634,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
lag_1,logistic_regression,2,"{""model__C"": 0.1}",0.5126497291563421,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
lag_1,random_forest,2,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5104804889862279,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
lag_1,hist_gradient_boosting,2,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.4990223173162824,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
lag_1,xgboost,2,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5121660773789672,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
lag_1,lightgbm,2,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5094801262138543,9580,736,2024-07-10,2024-07-11,2024-07-12,2025-04-04,relative_pooled
base,dummy,3,{},0.5,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
base,logistic_regression,3,"{""model__C"": 10.0}",0.5055561205658033,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
base,random_forest,3,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.510317251103037,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
base,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.51137966080714,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
base,xgboost,3,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5094395866170971,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
base,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5110808284072432,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
hybrid,logistic_regression,3,"{""model__C"": 10.0}",0.5071322070654264,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
hybrid,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5090101566334074,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
hybrid,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5156150251989401,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
hybrid,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5062620902196285,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
hybrid,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5123046061986014,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
lag_1,logistic_regression,3,"{""model__C"": 10.0}",0.5068143409922347,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
lag_1,random_forest,3,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5096910719071713,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
lag_1,hist_gradient_boosting,3,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5089242215347141,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
lag_1,xgboost,3,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5072052600653237,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
lag_1,lightgbm,3,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.5082765725602881,10316,736,2025-04-03,2025-04-04,2025-04-07,2025-12-29,relative_pooled
base,dummy,1,{},0.5,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
base,logistic_regression,1,"{""model__C"": 0.1}",0.5029466624420486,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
base,random_forest,1,"{""model__max_depth"": 8, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.5049818639646865,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
base,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5045672243318159,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
base,xgboost,1,"{""model__max_depth"": 3, ""model__n_estimators"": 100}",0.5089987981747462,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
base,lightgbm,1,"{""model__n_estimators"": 100, ""model__num_leaves"": 15, ""model__subsample_freq"": 1}",0.50834588585413,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
hybrid,logistic_regression,1,"{""model__C"": 0.1}",0.5090168720484688,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
hybrid,random_forest,1,"{""model__max_depth"": 4, ""model__min_samples_leaf"": 20, ""model__n_estimators"": 100}",0.50909133816623,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
hybrid,hist_gradient_boosting,1,"{""model__early_stopping"": false, ""model__max_iter"": 100, ""model__max_leaf_nodes"": 15}",0.5065600021813751,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
hybrid,xgboost,1,"{""model__max_depth"": 2, ""model__n_estimators"": 100}",0.5119215568205385,8840,740,2023-10-12,2023-10-13,2023-10-16,2024-07-11,relative_ticker
