approach,dataset_type,model_name,roc_auc,accuracy,balanced_accuracy,f1_macro,mcc
drop_news_sentiment_std,hybrid,random_forest,0.49981102714153924,0.5334538878842676,0.5087792567568474,0.45877902292869277,0.017876744240853976
drop_news_sentiment_std,lag_1,hist_gradient_boosting,0.51193958417786,0.5239602169981917,0.5070830592396525,0.4893572810701688,0.015015111161846163
drop_news_sentiment_std,lag_1,logistic_regression,0.49527554747471303,0.4914104882459313,0.48414642386947315,0.47695737575766617,-0.033793671657480095
drop_news_sentiment_std,lag_1,random_forest,0.5032887600013806,0.5289330922242315,0.5047117061738449,0.45724375667788175,0.009450985882922602
drop_sentiment_history_ready,hybrid,hist_gradient_boosting,0.5096546362261632,0.523508137432188,0.5091571224820337,0.49749730601894804,0.01918788088043604
drop_sentiment_history_ready,hybrid,logistic_regression,0.4973730927671533,0.5009041591320073,0.4906524924358933,0.4819761711146541,-0.020143061927515367
drop_sentiment_history_ready,hybrid,random_forest,0.5060042274863179,0.5284810126582279,0.5059983062666551,0.46893519840185893,0.012236986525212596
drop_sentiment_history_ready,lag_1,hist_gradient_boosting,0.5005651008816747,0.5140144665461122,0.49728475216672985,0.47850266097677624,-0.008721652017224132
drop_sentiment_history_ready,lag_1,logistic_regression,0.4947408644992276,0.49638336347197104,0.4874155494317852,0.48039763622216625,-0.026093097235837526
drop_sentiment_history_ready,lag_1,random_forest,0.5050623204076345,0.5330018083182639,0.5103367852760848,0.46877192293083014,0.021643448551378647
drop_sentiment_surprise_20,hybrid,hist_gradient_boosting,0.5126434168116653,0.5144665461121157,0.500341162615445,0.4857815879696594,9.444708881469616e-05
drop_sentiment_surprise_20,hybrid,logistic_regression,0.4956975545575757,0.5031645569620253,0.49490296266476114,0.48113281403982233,-0.01269892897489723
drop_sentiment_surprise_20,hybrid,random_forest,0.5048610252555656,0.5248643761301989,0.5026078319580922,0.4649969608828285,0.003045144180538034
drop_sentiment_surprise_20,lag_1,hist_gradient_boosting,0.5064728603943287,0.5131103074141049,0.49639442553752594,0.4760634956157387,-0.008761943826926683
drop_sentiment_surprise_20,lag_1,logistic_regression,0.49204121141921875,0.5045207956600362,0.4967733714314943,0.4834516709095048,-0.007257672755280257
drop_sentiment_surprise_20,lag_1,random_forest,0.5065696699337515,0.5280289330922243,0.5057268775124899,0.465250764090181,0.01083446506336543
enhanced,hybrid,hist_gradient_boosting,0.5066309031193538,0.5235081374321882,0.5088691569312,0.4974286892727364,0.01842595849282862
enhanced,hybrid,logistic_regression,0.4971441702008421,0.5045207956600362,0.49512184638599455,0.4865950887529316,-0.01109096566382202
enhanced,hybrid,random_forest,0.5101261388504239,0.5293851717902351,0.5034880464323748,0.45045450132170795,0.004819605753904544
enhanced,lag_1,hist_gradient_boosting,0.4991493986645298,0.5122061482820977,0.49560457582563855,0.4767337008779189,-0.012560647254898423
enhanced,lag_1,logistic_regression,0.496009488900194,0.5,0.49157680625349015,0.4844430153542535,-0.017926961758431132
enhanced,lag_1,random_forest,0.5068378865334845,0.5262206148282098,0.5019180288707156,0.4542832949104438,-0.0005780348293705595
