scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
outer_fold,0.47282608695652173,0.5185185185185185,0.42,0.46408839779005523,0.47785714285714287,0.47268591012497413,-0.04443673842887817,0.49309523809523814,45,39,58,42,3.0,add_news_abs_sentiment,lag_1,logistic_regression,TSLA
global,0.5135623869801085,0.5373831775700935,0.7641196013289037,0.6310013717421125,0.489202657807309,0.45873676014161324,-0.025713043718259377,0.4661841480778358,54,198,71,230,,add_news_abs_sentiment,lag_1,random_forest,AAPL
outer_fold,0.5513513513513514,0.551948051948052,0.8585858585858586,0.6719367588932806,0.5281301385952548,0.4812675247457856,0.07513243826114357,0.5019967112990369,17,69,14,85,1.0,add_news_abs_sentiment,lag_1,random_forest,AAPL
outer_fold,0.5,0.5294117647058824,0.801980198019802,0.6377952755905512,0.46725515925086486,0.415388865865451,-0.08706549009919747,0.4661815579148276,11,72,20,81,2.0,add_news_abs_sentiment,lag_1,random_forest,AAPL
outer_fold,0.4891304347826087,0.5289256198347108,0.6336633663366337,0.5765765765765766,0.4734581891924132,0.4663704800691102,-0.05566693604314286,0.4318263151616366,26,57,37,64,3.0,add_news_abs_sentiment,lag_1,random_forest,AAPL
global,0.49909584086799275,0.5378151260504201,0.631578947368421,0.5809379727685325,0.4844641724793912,0.4792330313280865,-0.03231757075549959,0.4911884379623759,84,165,112,192,,add_news_abs_sentiment,lag_1,random_forest,MSFT
outer_fold,0.4810810810810811,0.5371900826446281,0.6190476190476191,0.5752212389380531,0.45952380952380956,0.4542772861356932,-0.08431145759117888,0.4641666666666667,24,56,40,65,1.0,add_news_abs_sentiment,lag_1,random_forest,MSFT
outer_fold,0.45108695652173914,0.4791666666666667,0.7263157894736842,0.5774058577405857,0.4418095801301005,0.3972300606532386,-0.1410025772419863,0.47557658190419866,14,75,26,69,2.0,add_news_abs_sentiment,lag_1,random_forest,MSFT
outer_fold,0.5652173913043478,0.6304347826086957,0.5576923076923077,0.5918367346938775,0.5663461538461538,0.5633602278120551,0.1315587028960544,0.5786057692307691,46,34,46,58,3.0,add_news_abs_sentiment,lag_1,random_forest,MSFT
global,0.538878842676311,0.5836177474402731,0.5625,0.5728643216080402,0.5362700803212852,0.5359410016684603,0.07230935609116677,0.5474133375607695,127,122,133,171,,add_news_abs_sentiment,lag_1,random_forest,NVDA
outer_fold,0.5297297297297298,0.6018518518518519,0.5963302752293578,0.5990783410138248,0.5152704007725737,0.5152254450167164,0.03048198434747599,0.5493722839208112,33,43,44,65,1.0,add_news_abs_sentiment,lag_1,random_forest,NVDA
outer_fold,0.5597826086956522,0.5565217391304348,0.6808510638297872,0.6124401913875598,0.5570921985815602,0.5515031145617044,0.11790126894931266,0.5429078014184399,39,51,30,64,2.0,add_news_abs_sentiment,lag_1,random_forest,NVDA
outer_fold,0.5271739130434783,0.6,0.4158415841584158,0.49122807017543857,0.5392460932840272,0.5248018523466025,0.08044975296483346,0.5438387212215198,55,28,59,42,3.0,add_news_abs_sentiment,lag_1,random_forest,NVDA
global,0.4918625678119349,0.5024875621890548,0.7137809187279152,0.5897810218978102,0.48652008899358723,0.4611612947968861,-0.03024757904572834,0.5048946472974741,70,200,81,202,,add_news_abs_sentiment,lag_1,random_forest,TSLA
outer_fold,0.4972972972972973,0.506578947368421,0.8105263157894737,0.6234817813765182,0.48859649122807014,0.43369211020045423,-0.029776441150316735,0.5014035087719299,15,75,18,77,1.0,add_news_abs_sentiment,lag_1,random_forest,TSLA
