scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,approach,dataset_type,model_name,ticker
global,0.49547920433996384,0.5051282051282051,0.696113074204947,0.5854383358098069,0.4906491296950661,0.4705482672120628,-0.020503642609459125,0.495838241067923,77,193,86,197,,add_news_sentiment_std,lag_1,logistic_regression,TSLA
global,0.49005424954792043,0.522248243559719,0.7408637873754153,0.6126373626373627,0.46566998892580286,0.4333028083028083,-0.08152451940950005,0.435374149659864,48,204,78,223,,add_news_sentiment_std,lag_1,random_forest,AAPL
global,0.5406871609403255,0.5668449197860963,0.6973684210526315,0.6253687315634219,0.5233830057070387,0.5159553938190942,0.04972839930758047,0.5292221517649546,87,162,92,212,,add_news_sentiment_std,lag_1,random_forest,MSFT
global,0.5406871609403255,0.5850340136054422,0.5657894736842105,0.5752508361204013,0.5379148171633904,0.5376254180602007,0.07560523711855982,0.5521427816529275,127,122,132,172,,add_news_sentiment_std,lag_1,random_forest,NVDA
global,0.4972875226039783,0.5065274151436031,0.6855123674911661,0.5825825825825826,0.49275618374558305,0.47538220038220036,-0.015694542967636,0.5091741918597041,81,189,89,194,,add_news_sentiment_std,lag_1,random_forest,TSLA
global,0.5244122965641953,0.5441860465116279,0.7774086378737541,0.640218878248974,0.4998154300479882,0.4694427724578204,-0.0004420666267536442,0.46927569477403364,56,196,67,234,,add_sentiment_history_ready,hybrid,hist_gradient_boosting,AAPL
global,0.5262206148282098,0.5552631578947368,0.694078947368421,0.6169590643274854,0.507682043965335,0.49805299187938246,0.016486497440657437,0.5059448319594165,80,169,93,211,,add_sentiment_history_ready,hybrid,hist_gradient_boosting,MSFT
global,0.546112115732369,0.5820433436532507,0.618421052631579,0.5996810207336523,0.5381261889663919,0.5378363350014816,0.07697056560236717,0.5471491228070176,114,135,116,188,,add_sentiment_history_ready,hybrid,hist_gradient_boosting,NVDA
global,0.4936708860759494,0.5038560411311054,0.6925795053003534,0.5833333333333334,0.4888823452427693,0.46908602150537637,-0.024334451089541756,0.5230990708022509,77,193,87,196,,add_sentiment_history_ready,hybrid,hist_gradient_boosting,TSLA
global,0.49005424954792043,0.5230024213075061,0.717607973421927,0.6050420168067226,0.4679309708379476,0.44282713085234093,-0.07346158302829683,0.4584322100933397,55,197,85,216,,add_sentiment_history_ready,hybrid,logistic_regression,AAPL
global,0.4936708860759494,0.5458015267175572,0.47039473684210525,0.5053003533568905,0.49624154512788,0.49339091741918595,-0.007489945556717947,0.5037122172902135,130,119,161,143,,add_sentiment_history_ready,hybrid,logistic_regression,MSFT
global,0.5027124773960217,0.5638766519823789,0.42105263157894735,0.4821092278719397,0.5117311350665821,0.5019241791533612,0.02372929128392655,0.5191291481716339,150,99,176,128,,add_sentiment_history_ready,hybrid,logistic_regression,NVDA
global,0.5117540687160941,0.5169712793733682,0.6996466431095406,0.5945945945945946,0.5072307289621777,0.4904791154791155,0.015666187876456895,0.512105745321293,85,185,85,198,,add_sentiment_history_ready,hybrid,logistic_regression,TSLA
global,0.5009041591320073,0.5290023201856149,0.7574750830564784,0.6229508196721312,0.4759597637504614,0.4424914526168142,-0.057747567438759105,0.46632916732584506,49,203,73,228,,add_sentiment_history_ready,hybrid,random_forest,AAPL
global,0.5117540687160941,0.546448087431694,0.6578947368421053,0.5970149253731343,0.4956140350877193,0.4888744351636314,-0.00922508269759294,0.49328894525470307,83,166,104,200,,add_sentiment_history_ready,hybrid,random_forest,MSFT
global,0.5569620253164557,0.5942492012779552,0.6118421052631579,0.6029173419773096,0.5509009723102938,0.550947423544892,0.10219149430132586,0.5711794546607483,122,127,118,186,,add_sentiment_history_ready,hybrid,random_forest,NVDA
global,0.49005424954792043,0.5012722646310432,0.696113074204947,0.5828402366863905,0.4850935741395105,0.46351314159900925,-0.032864146158717876,0.5188980499934563,74,196,86,197,,add_sentiment_history_ready,hybrid,random_forest,TSLA
global,0.5280289330922242,0.5460829493087558,0.7873754152823921,0.6448979591836734,0.5028146917681802,0.4706969580284944,0.006822224573554509,0.4797434477667035,55,197,64,237,,add_sentiment_history_ready,lag_1,hist_gradient_boosting,AAPL
global,0.5135623869801085,0.5415676959619953,0.75,0.6289655172413793,0.48744979919678716,0.46146438591727756,-0.029294704534172905,0.5074508560558022,56,193,76,228,,add_sentiment_history_ready,lag_1,hist_gradient_boosting,MSFT
global,0.5515370705244123,0.5782122905027933,0.680921052631579,0.6253776435045317,0.537247674910167,0.5334095424729866,0.07757232534056979,0.5574336820968083,98,151,97,207,,add_sentiment_history_ready,lag_1,hist_gradient_boosting,NVDA
global,0.49547920433996384,0.504950495049505,0.7208480565371025,0.5938864628820961,0.4900536578981809,0.46400767058185954,-0.022412209392827256,0.52243161889805,70,200,79,204,,add_sentiment_history_ready,lag_1,hist_gradient_boosting,TSLA
global,0.4918625678119349,0.524390243902439,0.7142857142857143,0.6047819971870605,0.47023809523809523,0.44669479606188467,-0.06770399399845624,0.45828719084533037,57,195,86,215,,add_sentiment_history_ready,lag_1,logistic_regression,AAPL
global,0.49005424954792043,0.5413533834586466,0.47368421052631576,0.5052631578947369,0.49186218558444306,0.4895718774548311,-0.016206620990665707,0.5033951595857112,127,122,160,144,,add_sentiment_history_ready,lag_1,logistic_regression,MSFT
global,0.4972875226039783,0.5580357142857143,0.41118421052631576,0.4734848484848485,0.5067969245402664,0.4962579951766803,0.013777072735974468,0.5165926865356162,150,99,179,125,,add_sentiment_history_ready,lag_1,logistic_regression,NVDA
global,0.5099457504520796,0.515625,0.6996466431095406,0.5937031484257871,0.5053788771103258,0.4881955377664243,0.011673141586079332,0.5113074204946997,84,186,85,198,,add_sentiment_history_ready,lag_1,logistic_regression,TSLA
global,0.49909584086799275,0.528169014084507,0.7475083056478405,0.6189821182943603,0.4749446290143965,0.4440557029466525,-0.059334555247876536,0.4482281284606866,51,201,76,225,,add_sentiment_history_ready,lag_1,random_forest,AAPL
global,0.5424954792043399,0.568,0.7006578947368421,0.6273932253313697,0.525027742549144,0.5174436852652164,0.05330433196095733,0.5254703022616782,87,162,91,213,,add_sentiment_history_ready,lag_1,random_forest,MSFT
global,0.5298372513562387,0.5758620689655173,0.5493421052631579,0.5622895622895623,0.52768310082435,0.5272385311447811,0.05515746807441869,0.546647114774889,126,123,137,167,,add_sentiment_history_ready,lag_1,random_forest,NVDA
global,0.49909584086799275,0.5077319587628866,0.696113074204947,0.587183308494784,0.4943528333987698,0.47520084964969084,-0.01233894024318744,0.5102473498233215,79,191,86,197,,add_sentiment_history_ready,lag_1,random_forest,TSLA
global,0.5316455696202531,0.5492957746478874,0.7774086378737541,0.6437414030261348,0.5077519379844961,0.4801820471595054,0.01835765245238169,0.4750566893424036,60,192,67,234,,add_sentiment_surprise_20,hybrid,hist_gradient_boosting,AAPL
