scope,accuracy,precision,recall,f1,balanced_accuracy,f1_macro,mcc,roc_auc,tn,fp,fn,tp,group,mean_outer_auc,std_outer_auc,ticker,dataset_type,model_name,approach
outer_fold,0.5108695652173914,0.49122807017543857,0.6363636363636364,0.5544554455445545,0.5160984848484849,0.5061433854228796,0.033127640590974505,0.5494791666666667,38,58,32,56,2.0,,,TSLA,base,random_forest,joint
outer_fold,0.47282608695652173,0.5384615384615384,0.21,0.302158273381295,0.49785714285714283,0.43928874367754706,-0.005223319037338269,0.5230952380952382,66,18,79,21,3.0,,,TSLA,base,random_forest,joint
global,0.5099457504520796,0.525,0.4452296819787986,0.4818355640535373,0.5115037298782882,0.5084992571554136,0.023204166938566216,0.5192514068839157,156,114,157,126,,0.5334681400470874,0.007859261277593343,TSLA,base,xgboost,individual
outer_fold,0.5243243243243243,0.5271317829457365,0.7157894736842105,0.6071428571428571,0.5190058479532164,0.5022015655577299,0.04135342025487267,0.5361403508771929,29,61,27,68,1.0,,,TSLA,base,xgboost,individual
outer_fold,0.5108695652173914,0.4880952380952381,0.4659090909090909,0.47674418604651164,0.5089962121212122,0.5087802562885619,0.018043757939442674,0.5246212121212122,53,43,47,41,2.0,,,TSLA,base,xgboost,individual
outer_fold,0.4945652173913043,0.6296296296296297,0.17,0.2677165354330709,0.5254761904761904,0.44091220962524913,0.071725307313915,0.5396428571428572,74,10,83,17,3.0,,,TSLA,base,xgboost,individual
global,0.4972875226039783,0.5079365079365079,0.5653710247349824,0.5351170568561873,0.49564847533045414,0.49393648118399913,-0.008786234497208466,0.513852898835231,115,155,123,160,,0.5370576555815043,0.009683628879736285,TSLA,base,xgboost,joint
outer_fold,0.5081081081081081,0.5119047619047619,0.9052631578947369,0.6539923954372624,0.4970760233918129,0.4017625528588181,-0.01011830684155633,0.5358479532163742,8,82,9,86,1.0,,,TSLA,base,xgboost,joint
outer_fold,0.5271739130434783,0.504424778761062,0.6477272727272727,0.5671641791044776,0.5321969696969697,0.5231030476360712,0.06607749203243984,0.5472892992424243,40,56,31,57,2.0,,,TSLA,base,xgboost,joint
outer_fold,0.45652173913043476,0.5,0.17,0.2537313432835821,0.48380952380952386,0.4131904579665774,-0.04155699853194558,0.5280357142857144,67,17,83,17,3.0,,,TSLA,base,xgboost,joint
global,0.49005424954792043,0.50187265917603,0.4734982332155477,0.48727272727272725,0.4904528203114775,0.49003924133420534,-0.019100359647246275,0.5117785630153121,137,133,149,134,,0.5252950241766031,0.011729400834137123,TSLA,hybrid,hist_gradient_boosting,individual
outer_fold,0.4756756756756757,0.49137931034482757,0.6,0.5402843601895735,0.4722222222222222,0.46511073355390625,-0.057419183465077364,0.5180116959064327,31,59,38,57,1.0,,,TSLA,hybrid,hist_gradient_boosting,individual
outer_fold,0.5,0.4803921568627451,0.5568181818181818,0.5157894736842106,0.5023674242424242,0.4994677705499705,0.00475856522672226,0.5388257575757576,43,53,39,49,2.0,,,TSLA,hybrid,hist_gradient_boosting,individual
outer_fold,0.4945652173913043,0.5714285714285714,0.28,0.37583892617449666,0.515,0.47559069596396064,0.033806170189140665,0.5190476190476191,63,21,72,28,3.0,,,TSLA,hybrid,hist_gradient_boosting,individual
global,0.5135623869801085,0.52,0.6431095406360424,0.5750394944707741,0.5104436592069101,0.5031645675313701,0.021660862525642383,0.5418466169349562,102,168,101,182,,0.5717813552188553,0.04288800287211264,TSLA,hybrid,hist_gradient_boosting,joint
outer_fold,0.5621621621621622,0.5472972972972973,0.8526315789473684,0.6666666666666666,0.554093567251462,0.5144356955380578,0.13518451760896877,0.6211111111111112,23,67,14,81,1.0,,,TSLA,hybrid,hist_gradient_boosting,joint
outer_fold,0.4891304347826087,0.48026315789473684,0.8295454545454546,0.6083333333333333,0.5033143939393939,0.43697916666666664,0.00873603351065016,0.5508996212121212,17,79,15,73,2.0,,,TSLA,hybrid,hist_gradient_boosting,joint
outer_fold,0.4891304347826087,0.56,0.28,0.37333333333333335,0.5090476190476191,0.47107033639143736,0.020261264383039657,0.5433333333333333,62,22,72,28,3.0,,,TSLA,hybrid,hist_gradient_boosting,joint
global,0.5207956600361664,0.5346153846153846,0.4911660777385159,0.5119705340699816,0.5215089647951838,0.520638908242806,0.043082819765346135,0.5221175238843083,149,121,144,139,,0.5333233454532796,0.016068103278316398,TSLA,hybrid,lightgbm,individual
outer_fold,0.5081081081081081,0.5178571428571429,0.6105263157894737,0.5603864734299517,0.5052631578947369,0.5010521324204973,0.010764379752659722,0.5323976608187135,36,54,37,58,1.0,,,TSLA,hybrid,lightgbm,individual
outer_fold,0.5543478260869565,0.5288461538461539,0.625,0.5729166666666666,0.5572916666666666,0.5535037878787878,0.11546137937944932,0.5498342803030303,47,49,33,55,2.0,,,TSLA,hybrid,lightgbm,individual
outer_fold,0.5,0.5909090909090909,0.26,0.3611111111111111,0.5228571428571429,0.4751984126984127,0.053382784742504436,0.5177380952380953,66,18,74,26,3.0,,,TSLA,hybrid,lightgbm,individual
global,0.5099457504520796,0.5198675496688742,0.5547703180212014,0.5367521367521367,0.5088666404920822,0.5082992929442065,0.01780425735099213,0.507773851590106,125,145,126,157,,0.5184538128781551,0.038914011175009325,TSLA,hybrid,lightgbm,joint
outer_fold,0.518918918918919,0.5211267605633803,0.7789473684210526,0.6244725738396625,0.5116959064327485,0.4776498207544177,0.027680156314048573,0.49953216374269005,22,68,21,74,1.0,,,TSLA,hybrid,lightgbm,joint
outer_fold,0.5489130434782609,0.5233644859813084,0.6363636363636364,0.5743589743589743,0.5525568181818181,0.5472950941159034,0.1064385039680008,0.5632102272727273,45,51,32,56,2.0,,,TSLA,hybrid,lightgbm,joint
